spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
880,They Live by Night,1948,Nicholas Ray,Standalone,they-live-by-night-1948,44190,96,"Crime, Romance, Drama",United States of America,en,1.5964,6.9,180
879,Taipei Story,1985,Edward Yang,Martin Scorsese's World Cinema Project No. 2,taipei-story-1985,106380,120,Drama,Taiwan,zh,1.6089,7.439,131
878,Law of the Border,1966,Ömer Lütfi Akad,Martin Scorsese's World Cinema Project No. 2,law-of-the-border-1966,197297,71,"Crime, Drama",Turkey,tr,2.7486,6.2,34
877,Limite,1931,Mário Peixoto,Martin Scorsese's World Cinema Project No. 2,limite-1931,8353,114,"Drama, Adventure",Brazil,pt,0.864,7.1,118
876,Revenge,1989,Yermek Shinarbayev,Martin Scorsese's World Cinema Project No. 2,revenge-1989,355988,98,"Action, Drama",Hong Kong,cn,0.9248,5.7,3
875,Mysterious Object at Noon,2000,Apichatpong Weerasethakul,Martin Scorsese's World Cinema Project No. 2,mysterious-object-at-noon-2000,93553,89,"Documentary, Drama, Mystery","Thailand, Netherlands",th,0.7172,6.4,44
874,Insiang,1976,Lino Brocka,Martin Scorsese's World Cinema Project No. 2,insiang-1976,108949,95,Drama,Philippines,tl,2.5711,7,64
872,Ghost World,2001,Terry Zwigoff,Standalone,ghost-world-2001,1548,111,"Comedy, Drama","United Kingdom, United States of America, Germany",en,2.7396,7.093,1552
871,Dheepan,2015,Jacques Audiard,Standalone,dheepan-2015,314402,115,"Crime, Drama",France,fr,0.9776,6.852,519
870,Othello,1951,Orson Welles,Standalone,othello-1951,47697,93,Drama,"Italy, United States of America, Morocco",en,2.1856,7.4,207
869,Rumble Fish,1983,Francis Ford Coppola,Standalone,rumble-fish-1983,232,94,"Crime, Drama, Romance",United States of America,en,3.1836,6.993,751
868,Tampopo,1985,Juzo Itami,Standalone,tampopo-1985,11830,115,Comedy,Japan,ja,3.1388,7.8,420
867,Woman of the Year,1942,George Stevens,Standalone,woman-of-the-year-1942,20640,114,"Comedy, Romance, Drama",United States of America,en,1.5464,6.926,163
866,Buena Vista Social Club,1999,Wim Wenders,Standalone,buena-vista-social-club-1999,11779,105,"Documentary, Music","Germany, United States of America, United Kingdom, France, Cuba",en,0.9845,7.5,369
865,Blow-Up,1966,Michelangelo Antonioni,Standalone,blowup-1966,1052,111,"Drama, Mystery, Thriller","United Kingdom, United States of America, Italy",en,2.9266,7.325,1349
864,Being There,1979,Hal Ashby,Standalone,being-there-1979,10322,130,"Comedy, Drama",United States of America,en,2.2459,7.595,1110
863,Multiple Maniacs,1970,John Waters,Standalone,multiple-maniacs-1970,25625,97,"Crime, Comedy, Horror",United States of America,en,1.1185,6.289,116
