movie_id,director
david-lynch-the-art-life-2016,Olivia Neergaard-Holm
david-lynch-the-art-life-2016,Rick Barnes
david-lynch-the-art-life-2016,John Nguyen
the-piano-teacher-2001,Michael Haneke
certain-women-2016,Kelly Reichardt
festival-1967,Murray Lerner
poison-1951,Sacha Guitry
meantime-1983,Mike Leigh
the-breaking-point-1950,Michael Curtiz
stalker-1979,Andrei Tarkovsky
lost-in-america-1985,Albert Brooks
largent-1983,Robert Bresson
the-lodger-a-story-of-the-london-fog-1927,Alfred Hitchcock
césar-1936,Marcel Pagnol
fanny-1932,Marc Allégret
marius-1931,Alexander Korda
they-live-by-night-1948,Nicholas Ray
taipei-story-1985,Edward Yang
law-of-the-border-1966,Ömer Lütfi Akad
limite-1931,Mário Peixoto
revenge-1989,Yermek Shinarbayev
mysterious-object-at-noon-2000,Apichatpong Weerasethakul
insiang-1976,Lino Brocka
ghost-world-2001,Terry Zwigoff
dheepan-2015,Jacques Audiard
othello-1951,Orson Welles
rumble-fish-1983,Francis Ford Coppola
tampopo-1985,Juzo Itami
woman-of-the-year-1942,George Stevens
buena-vista-social-club-1999,Wim Wenders
blowup-1966,Michelangelo Antonioni
being-there-1979,Hal Ashby
multiple-maniacs-1970,John Waters
canoa-a-shameful-memory-1976,Felipe Cazals
45-years-2015,Andrew Haigh
mildred-pierce-1945,Michael Curtiz
before-midnight-2013,Richard Linklater
before-sunset-2004,Richard Linklater
before-sunrise-1995,Richard Linklater
women-on-the-verge-of-a-nervous-breakdown-1988,Pedro Almodóvar
the-tree-of-wooden-clogs-1978,Ermanno Olmi
cameraperson-2016,Kirsten Johnson
black-girl-1966,Ousmane Sembène
fox-and-his-friends-1975,Rainer Werner Fassbinder
something-wild-1961,Jack Garfein
his-girl-friday-1940,Howard Hawks
roma-1972,Federico Fellini
the-asphalt-jungle-1950,John Huston
heart-of-a-dog-2015,Laurie Anderson
the-squid-and-the-whale-2005,Noah Baumbach
oneeyed-jacks-1961,Marlon Brando
punchdrunk-love-2002,Paul Thomas Anderson
dreams-1990,Akira Kurosawa
lone-wolf-and-cub-white-heaven-in-hell-1974,Yoshiyuki Kuroda
lone-wolf-and-cub-baby-cart-in-the-land-of-demons-1973,Kenji Misumi
lone-wolf-and-cub-baby-cart-in-peril-1972,Buichi Saito
lone-wolf-and-cub-baby-cart-to-hades-1972,Kenji Misumi
lone-wolf-and-cub-baby-cart-at-the-river-styx-1972,Kenji Misumi
lone-wolf-and-cub-sword-of-vengeance-1972,Kenji Misumi
the-executioner-1963,Luis García Berlanga
boyhood-2014,Richard Linklater
pans-labyrinth-2006,Guillermo del Toro
dekalog-1989,Krzysztof Kieślowski
beyond-the-valley-of-the-dolls-1970,Russ Meyer
valley-of-the-dolls-1967,Mark Robson
blood-simple-1984,Joel Coen
blood-simple-1984,Ethan Coen
cat-people-1942,Jacques Tourneur
the-story-of-the-last-chrysanthemum-1939,Kenji Mizoguchi
the-immortal-story-1968,Orson Welles
chimes-at-midnight-1965,Orson Welles
a-taste-of-honey-1961,Tony Richardson
ingrid-bergman-in-her-own-words-2015,Stig Björkman
mccabe-mrs-miller-1971,Robert Altman
the-new-world-2005,Terrence Malick
a-touch-of-zen-1970,King Hu
muriel-or-the-time-of-return-1963,Alain Resnais
the-inlaws-1979,Arthur Hiller
clouds-of-sils-maria-2014,Olivier Assayas
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964,Stanley Kubrick
fantastic-planet-1973,René Laloux
here-comes-mr-jordan-1941,Alexander Hall
